file_path,set,probe488,probe561,probe638,save_allen
/allen/aics/microscopy/Data/RnD_Sandbox/5500000005/ZSD2/40X_zstack/5500000005_40X_20181003_1-Scene-01-P9-B02.czi,reference,TNNT2,MYH6,MYH7,/allen/aics/gene-editing/FISH/napari_roi/5500000005_B02
/allen/aics/microscopy/Data/RnD_Sandbox/5500000005/ZSD2/40X_zstack/5500000005_40X_20181003_1-Scene-02-P1-B02.czi,reference,TNNT2,MYH6,MYH7,/allen/aics/gene-editing/FISH/napari_roi/5500000005_B02
/allen/aics/microscopy/Data/RnD_Sandbox/5500000005/ZSD2/40X_zstack/5500000005_40X_20181003_1-Scene-03-P10-B02.czi,reference,TNNT2,MYH6,MYH7,/allen/aics/gene-editing/FISH/napari_roi/5500000005_B02
/allen/aics/microscopy/Data/RnD_Sandbox/5500000005/ZSD2/40X_zstack/5500000005_40X_20181003_1-Scene-04-P8-B02.czi,reference,TNNT2,MYH6,MYH7,/allen/aics/gene-editing/FISH/napari_roi/5500000005_B02
/allen/aics/microscopy/Data/RnD_Sandbox/5500000005/ZSD2/40X_zstack/5500000005_40X_20181003_1-Scene-05-P2-B02.czi,reference,TNNT2,MYH6,MYH7,/allen/aics/gene-editing/FISH/napari_roi/5500000005_B02
/allen/aics/microscopy/Data/RnD_Sandbox/5500000005/ZSD2/40X_zstack/5500000005_40X_20181003_1-Scene-06-P7-B02.czi,reference,TNNT2,MYH6,MYH7,/allen/aics/gene-editing/FISH/napari_roi/5500000005_B02
/allen/aics/microscopy/Data/RnD_Sandbox/5500000005/ZSD2/40X_zstack/5500000005_40X_20181003_1-Scene-07-P3-B02.czi,reference,TNNT2,MYH6,MYH7,/allen/aics/gene-editing/FISH/napari_roi/5500000005_B02
/allen/aics/microscopy/Data/RnD_Sandbox/5500000005/ZSD2/40X_zstack/5500000005_40X_20181003_1-Scene-08-P4-B02.czi,reference,TNNT2,MYH6,MYH7,/allen/aics/gene-editing/FISH/napari_roi/5500000005_B02
/allen/aics/microscopy/Data/RnD_Sandbox/5500000005/ZSD2/40X_zstack/5500000005_40X_20181003_1-Scene-09-P5-B02.czi,reference,TNNT2,MYH6,MYH7,/allen/aics/gene-editing/FISH/napari_roi/5500000005_B02
/allen/aics/microscopy/Data/RnD_Sandbox/5500000005/ZSD2/40X_zstack/5500000005_40X_20181003_1-Scene-10-P6-B02.czi,reference,TNNT2,MYH6,MYH7,/allen/aics/gene-editing/FISH/napari_roi/5500000005_B02
/allen/aics/microscopy/Data/RnD_Sandbox/5500000006/ZSD2/40X_zstack/5500000006_40X_20181004-Scene-01-P1-B02.czi,reference,TNNT2,MYH6,MYH7,/allen/aics/gene-editing/FISH/napari_roi/5500000006_B02
